ASIN,Name,UPC,List Price,Model,MPN,Brand,Color,Sales Rank,Category,Pick & Pack,Weight Handling,Order Handling,30d Storage,FBA Fees,VCF,Referral,Width,Height,Length,Weight,Buy Box,FBA BB,New Offers,FBA Offers,AMZ on Listing
*000116013307,B00BUFWKDE,"Seachem De-Nitrate Filter Media, 7 oz.",,,133,Seachem,,339489,Pet Products,1.06,1.95,1.00,0.01,4.02,0,0.15,2.9,1.7,6.4,0.85,10.77,N,2,0,N
*015568976773,B0006JLY0U,Seachem Denitrate 500ml,10.18,67101330,67101330,Seachem,,40571,Pet Products,1.06,0.96,1.00,0.02,3.04,0,0.15,3,3,6.3,0.65,7.82,Y,10,2,Y
*000116013505,B00BUFWL2Y,De*nitrate Nitrate Remover 100ml,4.69,,,Mojetto,,,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,N/A,N,0,0,N
*000116013505,B004HSULT6,"de*nitrate, 100 mL bagged",9.13,135,135,Seachem,,193518,Pet Products,1.06,0.96,1.00,0.01,3.03,0,0.15,4.7,1.4,4.8,0.05,7.97,Y,3,1,Y
*000116013505,B01CN91ICE,SeaChem De*Nitrate Nitrate Remover 100ml,,,,Seachem,,,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,N/A,N,0,0,N
*000116013604,B0006JLY14,"de*nitrate, 250 mL / 8.5 oz.",2.99,67101360,67101360,Seachem,,173641,Pet Products,1.06,0.96,1.00,0.01,3.03,0,0.15,2.2,1.7,4.9,0.55,11.28,Y,4,1,Y
*000116013604,B01CN91ZFO,SeaChem De*Nitrate Nitrate Remover 250ml,,,,Seachem,,,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,N/A,N,0,0,N
*000116013901,B000255PGW,"de*nitrate, 4 L / 1 gal.",67.24,139,139,Seachem,,78249,Pet Products,1.06,4.29,1.00,0.14,6.49,0,0.15,7.5,7.3,8.3,7.25,39.76,Y,5,1,Y
*000116013901,B001EUG5OU,Seachem Laboratories Denitrate - 4 Liters,35.99,,000116013901,Seachem,,572140,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,N/A,N,0,0,N
*000116013901,B003OYECR6,De Nitrate 1.6 kg,,,,Seachem,,608816,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,N/A,N,0,0,N
*000116014502,B00P9EFAGQ,Seachem Laboratories 075182 Clarity 100ml,,,075182,,,,Home,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,10.0,N,1,0,N
*000116014502,B0006JLX7E,"Clarity, 100 mL / 3.4 fl. oz.",6.29,145,145,Seachem,,73296,Pet Products,1.06,0.96,1.00,0.01,3.03,0,0.15,2.2,2,6,0.35,4.29,N,12,0,Y
*000116014502,B00BUFVLXE,Clarity Water Clarifier 100ml,4.45,,145,Seachem,,298684,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,9.25,N,2,0,N
*611101961802,B006OORO7I,"Seachem Clarity Water Clarifier, 8.5 fl. oz.",,,ASM146,Mojetto,,452609,Pet Products,1.06,2.34,1.00,0.01,4.41,0,0.15,2,2,6.2,1.9,N/A,N,0,0,N
*015568976803,B000256DUY,Seachem Clarity 250ml,12.72,67101460,67101460,Seachem,,17257,Pet Products,1.06,0.96,1.00,0.00,3.02,0,0.15,1.6,1.6,6.1,0.6,8.79,Y,20,2,Y
*000116016308,B008F0EYAE,Fish & Aquatic Supplies 3/8 H-Style Cat Harness,,,6709,Mojetto,Brown,,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,N/A,N,0,0,N
*716184577695,B0006JLVUI,Seachem Purigen 500ml,45.02,67101630,67101630,Seachem,,2548,Pet Products,1.06,1.95,1.00,0.02,4.03,0,0.15,3,2.9,6.5,1,22.72,Y,9,3,Y
*000116016308,B0113XNBO4,"Seachem Purigen Filtration for Marine and Freshwater, 10.6 Ounce",45.02,,,Seachem,,,Pantry,1.06,1.95,1.00,0.02,4.03,0,0.15,3,3,6.4,0.85,22.72,Y,1,0,N
*015568976827,B000255PJE,Seachem Purigen 250ml,25.0,67101660,67101660,Seachem,,4211,Pet Products,1.06,0.96,1.00,0.01,3.03,0,0.15,2.3,2.3,4.9,0.5,13.65,Y,27,4,Y
*000116016605,B00P9EFFRU,Seachem Laboratories 075185 Purigen 250ml,,,075185,Seachem,,595138,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,N/A,N,0,0,N
*000116017503,B003N47RRE,"GarlicGuard, 100 mL / 3.4 fl. oz.",10.25,175,175,Seachem,,122397,Pet Products,1.06,0.96,1.00,0.00,3.02,0,0.15,1.5,1.5,4.5,0.13,10.0,Y,2,1,Y
*000116017503,B01CN920H6,SeaChem Garlic Guard Flavor Enhancer 100ml,,,,Seachem,,,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,N/A,N,0,0,N
*000116017503,B009ETLS3Q,Seachem Garlic Guard - 100 ml,,,,Seachem,,673935,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,N/A,N,0,0,N
*000116017602,B00BS97KIW,Garlicguard,,,176,Seachem,,,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,19.16,N,1,0,N
*000116017602,B000256DVI,"Seachem Garlic Guard, 250-Ml",10.64,ASM176,ASM176,Seachem,,21941,Pet Products,1.06,0.96,1.00,0.01,3.03,0,0.15,2,2,6.6,0.65,7.99,Y,19,3,Y
*716184578029,B0002DGIOW,Seachem PhosGuard 500ml,17.64,116018302,116018302,Seachem,,2356,Pet Products,1.06,1.95,1.00,0.02,4.03,0,0.15,3,3,6.4,1.35,10.99,Y,17,2,Y
*000116018302,B00BUFWQNS,Seachem PhosGuard 500ml,,,SC3253,Seachem,,,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,N/A,N,0,0,N
*000116018500,B00029PO6O,"PhosGuard, 100 mL bagged",10.01,67101850,67101850,Seachem,,7889,Pet Products,1.06,0.96,1.00,0.01,3.03,0,0.15,4.7,1.3,4.8,0.22,7.05,Y,18,2,Y
*000116018500,B00BS97YH4,"Seachem PhosGuard for Freshwater & Saltwater, Treats 30 Gallons, 2.1 oz",,,185,Seachem,,481829,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,4.8,0.5,6.2,0.1,10.25,N,2,0,N
*000116018609,B004LOGGD6,Fish & Aquatic Supplies Phos - Guard Phosphate Remover 250 Gram,6.0,,186,Seachem,,324548,Pet Products,1.06,0.96,1.00,0.01,3.03,0,0.15,2.5,2.5,5,0.7,7.2,N,2,0,N
*000116018609,B0002A5VWA,Seachem PhosGuard 250ml,10.3,67101860,67101860,Seachem,,95502,Pet Products,1.06,0.96,1.00,0.01,3.03,0,0.15,2.4,1.4,4.9,0.7,6.55,Y,16,3,Y
*000116018609,B01CN92F5I,Phos - guard Phosphate Remover 250 Gram,,,,Seachem,,,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,N/A,N,0,0,N
*000116018708,B000255PH6,Seachem PhosGuard 1 Liter,28.94,67101870,67101870,Seachem,,20312,Pet Products,1.06,2.73,1.00,0.03,4.82,0,0.15,3.6,3.6,8,2.8,17.3,Y,21,2,Y
*000116018708,B00BS97YVU,Phosguard,,,187,Seachem,,,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,22.7,N,2,0,N
*000116018807,B000255PHG,"PhosGuard, 2 L / 67.6 oz.",51.54,67101880,67101880,Seachem,,9590,Pet Products,1.06,3.12,1.00,0.06,5.24,0,0.15,4.9,4.9,7.5,3.85,37.88,Y,6,2,Y
*000116018807,B0071CPJAG,Phosguard,,,188,Seachem,,,Pet Products,1.06,0.96,1.00,0.06,3.08,0,0.15,4.9,4.9,8,0,N/A,N,0,0,N
*634252040431,B0002APIK0,"Flourish Phosphorus, 250 mL / 8.5 fl. oz.",12.64,196,196,Seachem,,17135,Pet Products,1.06,0.96,1.00,0.01,3.03,0,0.15,1.9,1.6,5.4,0.65,10.86,Y,4,1,Y
*000116023603,B00DDZ296M,Alkaline Buffer (Pack of 2),,,236,Seachem,,,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,38.88,N,1,0,N
*000116023603,B0002A5VYI,"Alkaline Buffer, 300 g / 10.5 oz",13.58,67102360,67102360,Seachem,,12602,Pet Products,1.06,0.96,1.00,0.00,3.02,0,0.15,2.4,0.9,5.1,0.65,6.3,N,10,0,Y
*780231513608,B0002A5W6K,Seachem Discus Buffer 250gram,11.48,116026604,116026604,Seachem,,17994,Pet Products,1.06,0.96,1.00,0.01,3.03,0,0.15,2.3,2.2,4.9,0.65,11.48,Y,13,1,Y
*000116026604,B01CN92IKK,Discus Buffer 250 Gram,,,,Seachem,,,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,N/A,N,0,0,N
*000116026604,B00BS979N8,Discus Buffer,,,266,Seachem,,,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,19.96,N,1,0,N
*015568976919,B00CJ0VC0G,"SEACHEM LABORATORIES - TANGANYIKA BUFFER (250 GM) ""Ctg: AQUATIC PRODUCTS - AQUATICS - WATER CARE""",,,MSSSC02860L01,Seachem,,383445,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,20.88,N,2,0,N
*000116028608,B008F0ERJM,Fish & Aquatic Supplies Leather Treat Pouch,,,6788,Mojetto,,,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,N/A,N,0,0,N
*000116028608,B0002A5W7E,"Tanganyika Buffer, 250 g / 8.8 oz",13.05,286,286,Seachem,,85752,Pet Products,1.06,0.96,1.00,0.01,3.03,0,0.15,2.2,2.1,4.9,0.35,6.05,N,13,0,Y
*000116028608,B00P9EFJQC,Tanganyika Buffer 250 Gram,,,075198,Seachem,,,Home,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,N/A,N,0,0,N
*000116028608,B0071CPJX8,Tanganyika Buffer 250 Gm,,,,Seachem,,,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,N/A,N,0,0,N
*780231507836,B000255PKI,Seachem Malawi/Victoria Buffer 300gram,10.8,67102960,67102960,Seachem,,10299,Pet Products,1.06,0.96,1.00,0.01,3.03,0,0.15,2.3,1.5,4.7,0.65,6.05,N,9,0,Y
*000116029605,B00DDZ2RV4,Malawi/Victoria Buffer (Pack of 2),21.58,ASM296,296,Seachem,,476406,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,16.84,N,3,0,N
*890527246247,B00EYC8NNQ,Malawi/Victoria Buffer,,,296,Mojetto,,312029,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,14.21,N,3,0,N
*000116029704,B0002A5W7O,"Malawi/Victoria Buffer, 1.2 kg / 2.6 lbs",40.31,297,297,Seachem,,31743,Pet Products,1.06,2.73,1.00,0.03,4.82,0,0.15,3.6,3.6,8,2.85,25.7,Y,4,1,Y
*000116029704,B004LOELZQ,Fish & Aquatic Supplies Malawi And Victoria Buffer 1 Kilogram,,,ASM297,Mojetto,,792297,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,N/A,N,0,0,N
*000116030403,B00BUFW3WM,Neutral Regulator Ph 7.0 50gm,4.13,,304,Mojetto,,581094,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,N/A,N,0,0,N
*000116030403,B0002A5W7Y,"Neutral Regulator, 50 g / 1.8 oz",5.69,67103040,67103040,Seachem,,84028,Pet Products,1.06,0.96,1.00,0.00,3.02,0,0.15,1.2,1.2,3.3,0.15,5.18,Y,18,2,Y
*000116030403,B00DDZ2UY8,Neutral Regulator (Pack of 3),,,304,Seachem,,257258,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,26.66,N,1,0,N
*780231513615,B000255P9E,Seachem Neutral Regulator 250gram,11.48,67103060,67103060,Seachem,,10175,Pet Products,1.06,0.96,1.00,0.01,3.03,0,0.15,2.4,2.4,4.9,0.5,10.92,N,18,0,N
*780231594034,B000255PFS,Seachem Neutral Regulator 1 Kilo,34.36,116030700,116030700,Seachem,,14859,Pet Products,1.06,2.34,1.00,0.03,4.43,0,0.15,3.6,3.6,8,2.1,18.98,Y,14,2,Y
*000116031301,B00BUTB7FC,Seachem Reef Advantage Calcium 500g,,,SC1393,Seachem,,,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,N/A,N,0,0,N
*000116031301,B0002A5W8S,Seachem Reef Advantage Calcium 500gram,22.24,67103130,67103130,Seachem,,22559,Pet Products,1.06,1.95,1.00,0.02,4.03,0,0.15,2.9,2.8,6.5,1.3,13.74,Y,9,2,Y
*000116031301,B00B39OEK4,Seachem Laboratories ASM313 Reef Advantage Calcium 500 gram,,313,ASM313,Seachem,,,Health and Beauty,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,N/A,N,0,0,N
*000116031301,B00BS9856S,"SEACHEM LABORATORIES - REEF ADVANTAGE CALCIUM (500 GM) ""Ctg: AQUATIC PRODUCTS - AQUATICS - WATER CARE""",,,MSSSC03130L01,Seachem,,,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,N/A,N,0,0,N
*000116031608,B004PBIICM,Fish & Aquatic Supplies Reef Advantage Calcium,7.53,,SC03160,Seachem,,,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,12.95,N,1,0,N
*000116031608,B000255QO8,Seachem Reef Advantage Calcium 250gram,8.99,116031608,116031608,Seachem,,69882,Pet Products,1.06,1.95,1.00,0.01,4.02,0,0.15,2.3,2.3,4.7,0.8,10.07,Y,13,2,Y
*780231507843,B001F0GWQK,Seachem Marine Buffer 250grams,10.8,67103460,67103460,Seachem,,32417,Pet Products,1.06,0.96,1.00,0.01,3.03,0,0.15,2.9,2.7,4.9,0.55,8.04,Y,14,2,Y
*000116034609,B00DDZAO28,Seachem Laboratories 075211 Marine Buffer 250 Gram,,,,Seachem,,,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,N/A,N,0,0,N
*000116034609,B00FN2J9FC,Marine Buffer,,,346,Seachem,,681786,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,12.23,N,2,0,N
*000116035309,B00B39OGOS,Reef Calcium 500 Milliliter,,,ASM353,Seachem,,,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,N/A,N,0,0,N
*000116035309,B000256AAC,Seachem Reef Calcium 500ml,16.28,67103530,67103530,Seachem,,58779,Pet Products,1.06,1.95,1.00,0.01,4.02,0,0.15,2.3,2.3,7.6,1.5,10.84,Y,9,2,Y
*000116035309,B004PBGP36,Seachem Reef Calcium 500ml,,353,SC03530,Seachem,,604802,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,11.44,N,2,0,N
*000116035606,B000255PIA,Seachem Reef Calcium 250ml,10.64,116035606,116035606,Seachem,,176971,Pet Products,1.06,1.95,1.00,0.01,4.02,0,0.15,2,2,6.3,0.8,8.22,Y,15,3,Y
*000116035606,B015L2WKW2,Reef Calcium 250 Milliliter,,,,Seachem,,,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,N/A,N,0,0,N
*000116036603,B00DDZAT3M,Reef Builder 250 Gram,,,,Seachem,,,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,7.97,N,1,0,N
*000116036603,B00025K0PS,Seachem Reef Builder 300gram,10.8,67103660,67103660,Seachem,,60834,Pet Products,1.06,0.96,1.00,0.04,3.06,0,0.15,6.5,2.6,7.6,0.2,6.05,N,16,0,Y
*000116036603,B009V5AC6M,Reef Builder 250 Gram,10.3,,,Seachem,,,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,N/A,N,0,0,N
*000116037600,B004LOBIUM,Reef Strontium,6.19,,376,Seachem,,785593,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,19.42,N,2,0,N
*000116037600,B000255PIK,Seachem Reef Strontium 250ml,10.64,116037600,116037600,Seachem,,237779,Pet Products,1.06,0.96,1.00,0.00,3.02,0,0.15,1.7,0.9,5.9,0.75,5.71,N,18,4,Y
*000116037600,B00DDZAVLC,Reef Strontium (Pack of 2),,,376,Seachem,,432348,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,14.0,N,3,0,N
*000116038706,B007TUNNRG,Safe 1kg / 2.2 Lbs,,,ASM387,Mojetto,,768025,Pet Products,1.06,2.34,1.00,0.00,4.40,0,0.15,0,0,0,2,N/A,N,0,0,N
*000116038706,B003JW2G44,Seachem Safe 1 Kilo,53.98,116038706,116038706,Seachem,,23700,Pet Products,1.06,2.34,1.00,0.04,4.44,0,0.15,3.9,3.8,8.3,2.7,31.97,Y,6,1,Y
*000116039307,B0002A5WOM,Seachem Reef Kalkwasser 250gram,17.92,116039307,116039307,Seachem,,177550,Pet Products,1.06,0.96,1.00,0.02,3.04,0,0.15,2.9,2.9,6.4,0.6,17.05,Y,3,1,Y
*000116039307,B006OP64J6,Seachem Laboratories - Reef Kalkwasser - 250 Gram,,,,Seachem,,,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,N/A,N,0,0,N
*000116042406,B01CN90U00,Betta Basics 60ml,,,,Seachem,,,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,N/A,N,0,0,N
*000116042406,B00BS973UC,Fish & Aquatic Supplies Betta Basics,,,SC04240,Seachem,,355401,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,10.84,N,2,0,N
*000116042406,B0002APIL4,"Betta Basics, 60 mL / 2 fl. oz.",1.85,424,424,Seachem,,26062,Pet Products,1.06,0.96,1.00,0.00,3.02,0,0.15,1.3,1.2,3.5,0.02,5.99,Y,13,2,Y
*000116043403,B0002A5WPQ,"Prime, 50 mL / 1.7 fl. oz.",5.09,67104340,67104340,Seachem,,16965,Pet Products,1.06,0.96,1.00,0.00,3.02,0,0.15,1.2,1.2,3.7,0.25,5.82,Y,19,3,Y
*000116043403,B00P9EJK6W,Seachem Laboratories 075221 Prime 50ml,,,075221,Seachem,,582360,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,8.99,N,1,0,N
*000116043403,B015NZYCBE,Prime 50 Milliliter,,,,Seachem,,,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,N/A,N,0,0,N
*000116044608,B0002A5WQA,Seachem Equilibrium 300gram,11.22,116044608,116044608,Seachem,,19862,Pet Products,1.06,0.96,1.00,0.01,3.03,0,0.15,2.3,1.5,4.9,0.75,11.22,Y,3,1,Y
*000116044608,B006OONXTG,Equilibrium 300 gm,,,,,,3052609,Automotive Parts and Accessories,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,6.3,N,1,0,N
*000116045308,B00BS97D5C,FLOURISH EXCEL 500 MILLILITER,,,453,Seachem,,598604,Pet Products,1.06,1.95,1.00,0.01,4.02,0,0.15,2.5,1.5,7.6,1.1,N/A,N,0,0,N
*000116045308,B00P9EEH06,Seachem Laboratories 075225 Flourish Excel 500ml,,,075225,,,,Home,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,19.18,N,1,0,N
*781163675570,B000256962,Seachem Flourish Excel 500ml,16.72,67104530,67104530,Seachem,,624,Pet Products,1.06,1.95,1.00,0.01,4.02,0,0.15,2.5,2.4,6.6,1.28,11.55,Y,19,3,Y
*000116045308,B010UNMYCI,"Seachem Flourish Excel Organic Carbon for Planted Aquarium, 16.9 Fluid Ounce",16.72,,,Seachem,,15337,Pantry,1.06,1.95,1.00,0.02,4.03,0,0.15,2.6,2.4,7.7,1.2,11.55,Y,1,0,N
*000116045506,B00DDZAOOG,Flourish Excel Co2 Plant Supplement 100ml,,,,Seachem,,,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,N/A,N,0,0,N
*000116045506,B0002A5WQU,"Flourish Excel, 100 mL / 3.4 fl. oz.",8.77,455,455,Seachem,,54146,Pet Products,1.06,0.96,1.00,0.00,3.02,0,0.15,1.3,1,4.7,0.2,8.77,Y,4,1,Y
*000116045506,B0040VAVNQ,Flourish Excel Co2 Plant Supplement 100ml,7.7,,ASM455,Seachem,,,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,N/A,N,0,0,N
*000116046305,B0002APILO,Seachem Flourish Potassium 500ml,16.72,116046305,116046305,Seachem,,5814,Pet Products,1.06,1.95,1.00,0.00,4.01,0,0.15,2.44,2.36,2.76,1.28,11.29,Y,9,3,Y
*015568977138,B0002A5WRY,Seachem Flourish Potassium 250ml,10.44,67104660,67104660,Seachem,,14206,Pet Products,1.06,0.96,1.00,0.01,3.03,0,0.15,2.6,2.3,7.1,0.65,5.86,N,16,0,Y
*000116046602,B007R6FW9Y,Flourish Potassium - Size: 250 Milliliter,,,75227,BCI,,,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,N/A,N,0,0,N
*611102061747,B00025696C,Seachem Flourish Iron 500ml,16.72,116047302,116047302,Seachem,,4102,Pet Products,1.06,1.95,1.00,0.01,4.02,0,0.15,2.7,2.6,6.2,1.2,11.55,Y,10,3,Y
*000116047302,B001EUJN76,Fish & Aquatic Supplies Flourish Iron Plant Supplement 500Ml,10.02,,ASM473,Seachem,,698976,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,N/A,N,0,0,N
*000116047401,B012E5C6IC,"Seachem Flourish Iron Aquarium Treatment, 50 ml/1.7 oz",,67104740,67104740,Seachem,,,Pet Products,4.09,5.96,0.00,0.45,10.50,0,0.15,15,8,15,5,N/A,N,0,0,N
*000116051309,B00025696M,Seachem Flourish 500ml,16.72,67105130,67105130,Seachem,,2990,Pet Products,1.06,1.95,1.00,0.01,4.02,0,0.15,2.4,1.6,7.7,1.25,13.85,Y,12,1,Y
*000116051309,B000N30B6W,Flourish Comprehensive Plant Supplement 500mL,,,513,,,828147,Pet Products,1.06,0.50,1.00,0.00,2.56,0,0.15,0,0,0,0,N/A,N,0,0,N
*000116051309,B0113XNFY0,"Seachem Flourish Supplement for Planted Aquarium, 16.9 Fluid Ounce",16.72,,,Seachem,,15768,Pantry,1.06,1.95,1.00,0.01,4.02,0,0.15,2.3,2.3,7.5,1.25,14.77,Y,1,0,N
