UPC,Cost
097612390612,7.331
097612391008,4.51
097612391022,3.337
097612391060,3.337
097612391107,4.348
097612400106,1.395
097612400120,2.387
097612400144,2.387
097612400151,1.618
097612400175,1.557
097612400182,1.173
097612400205,1.325
097612400304,1.325
097612400328,2.76
097612400335,3.822
097612400342,7.169
097612400359,11.467
097612400380,3.792
097612400397,6.725
097612400410,2.336
097612400441,2.336
097612400472,2.336
097612400496,2.336
097612400526,3.347
097612400533,6.108
097612400540,9.384
097612400595,2.033
097612400601,1.325
097612400663,1.183
097612400670,2.518
097612400700,1.466
097612400717,1.466
097612400724,1.466
097612400762,2.285
097612400809,2.488
097612400816,3.853
097612400854,2.518
097612400861,3.853
097612400922,2.781
097612400939,4.793
097612400977,3.064
097612400984,5.288
097612400991,3.994
097612401004,6.573
097612401011,2.983
097612401028,5.288
097612401035,3.853
097612401042,6.189
097612401103,2.022
097612401134,8.565
097612401202,2.549
097612401219,3.822
097612401226,8.484
097612401301,2.549
097612401318,3.822
097612401325,8.484
097612401332,12.832
097612401516,1.456
097612401523,1.456
097612401608,1.052
097612401707,1.112
097612401714,2.811
097612401806,1.669
097612401905,1.972
097612401912,6.32
097612401950,2.275
097612401967,7.028
097612402032,4.449
097612402124,2.336
097612402452,2.336
097612410112,1.477
097612410211,3.023
097612410228,4.652
097612410501,1.173
097612410518,2.033
097612610208,3.388
097612621501,4.783
097612621518,8.444
097612622102,3.034
097612622201,1.517
097612622508,3.034
097612623000,2.953
097612623017,3.539
097612624007,16.837
097612624014,3.762
097612660104,5.713
097612660302,14.713
097612661040,0.9
097612700107,3.034
097612700152,4.247
097612700299,5.005
097612700404,7.392
097612701104,1.881
097612701159,2.528
097612701296,2.781
097612701555,4.5
097612720105,3.185
097612740011,6.725
097612740059,2.983
097612751048,1.749
097612760057,2.831
097612761153,2.983
097612761450,2.983
097612761559,2.983
097612761658,3.933
097612770056,2.831
097612780048,2.549
097612790207,2.872
097612800319,2.124
097612810042,2.073
097612810080,3.135
097612840025,1.436
097612840049,2.073
097612910018,6.017
097612910216,30.336
097612910223,30.336
097612910308,6.725
097612910506,14.066
097612920307,3.62
097612920505,8.14
097612921205,1.325
097612921304,1.658
097612921502,4.894
097612923308,4.723
097612923407,8.808
097612923506,11.72
097612923605,3.994
097612923612,5.005
097612923629,10.87
097612923636,13.095
097612924091,3.286
097612924114,8.899
097612925203,3.226
097612925500,14.147
097612930108,1.264
097612970500,6.017
097612970753,6.725
097612971507,7.058
098731092203,3.155
098731092227,5.461
098731092548,9.485
098731093255,1.757
098731093354,2.037
098731100359,2.419
098731250207,2.097
098731250252,3.794
098731251020,1.628
098731251105,0.788
098731251259,1.218
098731254458,3.155
098731255059,1.757
098731255400,6.15
098731255554,1.757
098731256001,1.567
098731256452,1.567
317163000182,5.415
317163000861,5.274
317163001264,3.881
317163001271,2.961
317163001288,2.607
317163001561,9.084
317163010341,15.23
317163010587,4.282
317163010594,2.973
317163010846,1.577
317163010853,0.944
317163010891,1.341
317163011089,5.277
317163011102,6.296
317163011461,7.733
317163014431,2.95
317163014448,2.617
317163017746,6.489
317163017753,6.682
317163017838,6.928
317163018057,0.944
317163018200,1.325
317163018224,2.763
317163018408,1.416
317163020296,4.353
317163020463,1.652
317163020470,1.78
317163020876,1.663
317163020920,1.244
317163020937,1.523
317163021064,1.947
317163021767,7.486
317163021781,8.076
317163021873,6.232
317163022481,7.733
317163022696,7.926
317163022894,9.867
317163024430,4.826
317163028209,2.082
317163028230,3.104
317163028254,1.909
317163028315,2.145
317163028339,3.968
317163028346,1.973
317163028384,2.617
317163028407,3.229
317163028414,2.274
317163030301,2.135
317163030318,2.135
317163030356,4.625
317163030363,4.625
317163030370,4.625
317163030455,2.199
317163030851,2.199
317163030875,2.896
317163031063,3.315
317163031988,8.044
317163035788,5.698
317163035795,3.964
317163037836,1.727
317163038314,3.104
317163038383,3.625
317163038406,5.352
317163038413,3.593
317163040331,7.326
317163040836,3.282
317163040874,5.474
317163041116,2.317
317163041239,2.855
317163043561,7.765
317163043899,9.867
317163044407,3.379
317163044414,3.379
317163044421,3.379
317163048344,5.567
317163050453,5.84
317163050842,2.092
317163050859,5.108
317163050897,9.867
317163051405,6.446
317163060339,5.238
317163060520,1.384
317163060858,5.474
317163070116,2.761
317163070338,6.866
317163075760,3.056
317163080108,3.728
317163080115,3.622
317163080566,4.035
317163080856,3.186
317163100110,5.828
317163100851,27.5
317163105764,4.094
317163110102,18.522
317163110843,5.448
317163120637,6.323
317163120651,4.648
317163120699,5.203
317163134016,15.23
317163134023,17.203
317163160114,26.686
317163160145,4.011
317163160152,5.722
317163160169,3.905
317163160251,5.722
317163160503,5.722
317163160558,6.005
317163160565,7.763
317163160701,3.823
317163161661,6.618
317163161715,7.218
317163181676,5.363
317163191675,8.795
317163268056,1.255
317163651568,3.196
602644020118,6.943
602644020415,6.943
602644021115,7.644
602644021214,6.943
602644021818,7.644
602644022013,5.669
602644022044,5.669
602644022051,5.669
602644023027,7.071
602644023034,4.141
602644023065,7.071
602644023096,7.071
602644023119,4.141
602644023300,3.822
602644023317,3.822
602644023324,3.822
602644023331,3.822
602644028015,4.141
602644028022,4.141
602644028046,4.586
608461005000,6.192
608461005017,6.192
608461005048,3.371
608461005055,2.958
611932100111,4.999
611932100128,4.999
613423211108,4.029
613423211207,8.51
613423220582,3.576
613423240559,4.47
613423240573,4.11
613423304367,3.122
613423304374,3.122
613423330236,7.151
613423330250,6.269
613423330267,7.151
613423330533,3.122
613423330557,2.587
613423330564,3.122
613423410518,3.576
613423410532,3.576
613423410556,3.576
613423440577,3.122
613423440607,6.258
613423440614,6.258
613423440676,6.258
613423610550,3.122
613423610567,3.122
613423610574,3.122
613423820157,0.56
613423820164,0.56
613423820171,0.56
613423820249,1.334
613423820256,1.335
613423820263,1.335
613423820270,1.335
613423820355,1.788
613423820362,1.788
613423820379,1.788
613423820454,2.98
613423820478,2.98
613423824155,8.51
613423824278,8.51
613423824353,8.51
613423824360,8.51
613423824377,8.51
613423824452,8.51
613423824476,8.51
613423910582,2.05
613423990508,1.74
615650100095,3.594
615650100118,7.531
615650100149,7.669
615650100156,5.07
615650100163,2.598
615650100170,2.335
615650100187,3.079
615650100194,6.787
615650151004,1.889
615650151028,0.687
615650151240,4.212
615650220427,3.639
615650237104,3.01
615650238002,1.704
615650238101,2.503
615650238200,2.965
615650238309,2.987
615650255030,2.723
615650255054,3.834
615650255078,3.135
615650260034,3.135
615650260058,2.151
615650260133,2.043
615650260171,9.497
615650280063,4.506
615650280087,4.506
615650300204,2.989
615650342006,3.422
615650342013,3.422
615650450220,6.466
615650800230,2.723
615650800339,2.723
615650950010,7.175
615650950058,7.748
615650970063,1.61
615650970070,2.407
615650970087,2.873
615650980239,1.974
615650980246,2.867
615650980253,3.478
615650990337,2.804
615650990986,4.554
618940212010,1.263
618940212034,1.65
618940212065,0.477
618940212102,1.208
618940212119,1.883
618940212201,0.233
618940212218,0.365
618940212225,0.62
618940212232,0.4
618940212249,0.521
618940212256,0.631
618940212263,1.008
618940212300,2.061
618940212317,2.426
618940212324,3.245
618940212508,1.318
618940212515,1.54
618940212560,1.54
618940212577,1.762
618940212621,2.316
618940212638,2.537
618940212751,0.764
618940212805,1.54
618940214007,0.521
618940214083,1.096
618940214106,1.385
618940214120,0.764
618940215004,3.559
618940215028,4.692
618940215042,5.973
618940215080,11.744
618940215103,13.882
618940215998,1.165
618940216056,1.218
618940310013,1.429
618940310020,1.65
618940310099,1.718
618940310105,1.983
618940310211,2.979
618940310303,1.817
618940310327,1.894
618940310341,1.894
618940310358,1.008
618940310365,1.008
618940310433,2.272
618940310457,1.285
618940310471,1.584
618940310495,1.695
618940310501,1.806
618940310518,1.362
618940310594,1.285
618940310730,1.806
618940310747,0.975
618940310808,0.82
618940310877,2.038
618940310907,2.038
618940310914,2.038
618940310921,2.038
618940310938,2.038
618940310969,1.617
618940311300,1.65
618940311317,1.85
618940312000,1.65
618940312017,2.038
618940312055,1.65
618940312062,2.038
618940312109,1.628
618940312123,1.983
618940312154,1.65
618940312161,2.006
618940312185,1.894
618940313014,2.426
618940313052,2.127
618940313120,2.204
618940313175,3.8
618940313199,2.094
618940313212,1.274
618940313229,3.688
618940400356,1.23
618940400363,2.05
618940422037,2.216
618940430179,2.713
618940430186,3.312
618940430193,4.42
618940430223,3.291
618940430230,2.094
618940430247,2.581
618940430254,4.565
618940430322,3.866
618940430360,2.979
618940430377,4.354
618940430407,1.927
618940430414,2.548
618940430421,4.242
618940430445,4.055
618940430612,2.548
618940430674,2.05
618940430681,3.312
618940430704,1.806
618940431008,3.201
618940431015,3.977
618940431084,1.661
618940431091,1.661
618940431176,1.661
618940431183,2.537
618940431299,2.216
618940431329,4.055
618940431343,4.609
618940431350,5.826
618940431404,4.609
618940431657,1.762
618940431671,2.647
618940431688,2.647
618940431909,3.146
618940431916,4.908
618940431985,3.866
618940431992,3.091
618940432012,2.426
618940432029,3.312
618940432036,3.312
618940432203,3.312
618940432661,2.316
618940436058,1.421
618940436065,3.271
618940436072,6.64
618940436201,1.336
618940442004,4.253
618940461258,5.163
618940461289,2.027
618940461302,1.474
618940461371,3.688
618940463009,2.581
618940463016,1.54
618940463023,4.42
618940463047,2.581
618940463054,3.722
618940463214,3.688
618940464068,4.42
618940470106,2.581
618940470113,2.946
618940470120,4.796
618940470137,2.204
618940470144,2.946
618940470151,4.42
618940470212,3.312
618940470229,4.055
618940470243,2.946
618940470274,3.312
618940470281,4.055
618940470335,2.946
618940650010,3.329
618940650027,4.455
618940650041,2.505
618940650089,4.153
618940650102,3.248
618940650119,3.711
618940650126,3.349
618940650157,4.516
618940650164,5.622
618940650171,3.349
618940650188,3.349
618940650201,3.207
618940650218,3.349
618940650225,3.812
618940650249,5.261
618940650263,2.946
618940650270,3.611
618940650294,3.611
618940650331,2.302
618940650409,3.681
618940650461,2.675
618940650478,3.349
618940710172,2.316
618940710196,1.872
618940710349,1.762
618940710387,2.027
618940710394,2.027
618940710417,2.027
618940710455,3.28
618940710462,5.163
618940710592,2.204
618940710608,2.204
618940710707,1.47
618940710868,1.703
618940710912,1.764
618940710943,2.169
618940710967,3.185
618940821007,1.252
618940821014,1.733
618940821038,5.527
618940823001,18.82
618940823018,22.143
618940823025,25.467
618940823032,27.682
618940823100,16.605
619106105214,1.366
619106105962,7.168
619106241042,7.728
619106242049,7.728
619106243145,13.776
619106244012,9.408
619106244227,4.704
619106244241,8.624
619106246221,8.288
619106246320,7.84
619106246344,21.168
619106247020,13.664
619106248126,18.592
619106254042,13.395
619106254141,17.942
619106257029,18.144
619106262047,19.712
619106265048,19.712
619106265222,9.296
619106265246,6.944
619106265260,10.416
619106265284,25.648
619106267042,12.768
619106270622,10.752
619106270646,17.36
619106272022,6.384
619106272046,10.416
619106283707,16.8
632039101016,3.242
632039102006,3.13
632039102044,3.13
632039104000,3.242
632039104017,3.242
632039400164,3.879
632039400287,4.092
632039400294,4.092
632039400300,5.736
632039400409,12.566
632039400423,5.736
632039400430,5.736
632039400447,5.736
632039400454,5.736
632039400461,5.736
632039400485,4.092
632039400492,7.435
632039400508,7.435
633843106044,7.616
633843300350,7.616
633843300701,13.491
642863021411,3.855
642863021428,3.855
642863041037,11.053
642863041051,23.25
642863041105,11.053
642863041112,15.803
642863041129,23.25
642863041174,11.053
642863041181,15.803
642863041198,23.25
642863041242,11.053
642863041259,15.803
642863041266,23.25
642863041310,11.053
642863041327,15.803
642863041334,23.25
642863041709,2.5
642863041716,1.237
642863041723,0.803
642863041730,0.5
642863044243,11.053
642863044250,11.053
642863044267,11.053
642863044274,11.053
642863045394,4.316
642863045417,5.474
642863045813,4.316
642863045820,5.474
642863046001,23.25
642863046018,23.25
642863046025,23.25
642863046032,23.25
642863101007,28.079
642863101021,28.079
642863101045,28.079
642863101069,28.079
642863101250,4.316
642863101267,4.316
642863101281,5.474
642863101397,1.697
642863101403,1.697
642863101410,1.697
642863101427,1.697
642863101434,1.697
642863101533,1.697
642863101557,1.697
642863101571,1.697
642863101595,1.697
642863101618,1.697
642863101632,3.342
642863101656,3.342
642863101670,3.342
642863101694,3.342
642863102912,5.329
642863102929,5.329
642863102936,5.329
642863102943,5.329
642863103223,1.697
642863103230,1.697
642863103254,3.342
642863104008,6.316
642863104015,6.316
642863104022,6.316
642863104039,6.316
642863104046,17.711
642863104053,17.711
642863104060,17.711
642863104077,17.711
642863104107,10.421
642863104596,12.276
642863104602,12.276
642863104619,12.276
642863104626,12.276
642863104633,25.908
642863104640,25.908
642863104657,25.908
642863104664,25.908
642863104718,11.053
642863104725,11.053
642863104732,11.053
642863104749,11.053
642863104794,11.053
642863104800,11.053
642863104817,11.053
642863104824,11.053
642863105791,7.237
642863105807,7.237
649510024528,1.471
649510024535,2.577
649510024542,3.683
649510024559,1.471
649510024566,2.577
649510024573,3.683
649510024580,1.471
649510024597,2.577
649510024603,3.683
649510024672,1.836
649510024689,2.942
649510024696,4.789
649510024702,2.577
649510024719,3.307
649510024726,4.048
649510024733,7.366
649510024740,4.789
649510024764,5.895
649510024771,8.107
649510024795,2.942
649510024801,4.789
649510024818,4.789
649510024825,2.201
649510024832,4.048
649510024849,4.048
649510024856,1.836
649510024863,3.683
649510024870,3.683
649510025006,1.471
649510025105,1.836
649510025112,2.942
649510025129,2.577
649510025136,3.307
